CEP inicial,Latitude inicial,Longitude inicial,Dia do voo,Hora inicial,Velocidade (km/h),CEP final,Latitude final,Longitude final,Pouso,Hora final
82821020,-25.4233146,-49.2160678,1,06:00:00,36,82821016,-25.4270764,-49.2095055,NAO,06:01:34
82821016,-25.4270764,-49.2095055,1,06:01:34,36,82820300,-25.4107437,-49.2017099,NAO,06:06:02
82820300,-25.4107437,-49.2017099,1,06:06:02,36,82840140,-25.4035559,-49.2092010,NAO,06:07:30
82840140,-25.4035559,-49.2092010,1,06:07:30,36,82840120,-25.4055830,-49.2167227,NAO,06:08:23
82840120,-25.4055830,-49.2167227,1,06:08:23,36,82600640,-25.3981886,-49.2162512,NAO,06:09:55
82600640,-25.3981886,-49.2162512,1,06:09:55,36,82600750,-25.3958555,-49.2162615,NAO,06:10:23
82600750,-25.3958555,-49.2162615,1,06:10:23,36,82600070,-25.3907411,-49.2112438,NAO,06:12:27
82600070,-25.3907411,-49.2112438,1,06:12:27,36,82860400,-25.3861407,-49.1978956,NAO,06:16:59
82860400,-25.3861407,-49.1978956,1,06:16:59,36,82860360,-25.3827109,-49.1953359,NAO,06:18:08
82860360,-25.3827109,-49.1953359,1,06:18:08,36,82630290,-25.3718663,-49.2091730,NAO,06:20:32
82630290,-25.3718663,-49.2091730,1,06:20:32,36,82630100,-25.3812693,-49.2161804,NAO,06:22:01
82630100,-25.3812693,-49.2161804,1,06:22:01,36,82620150,-25.3843628,-49.2203917,NAO,06:22:38
82620150,-25.3843628,-49.2203917,1,06:22:38,36,82630494,-25.3769202,-49.2197022,NAO,06:24:12
82630494,-25.3769202,-49.2197022,1,06:24:12,36,82720240,-25.3649974,-49.2309055,SIM,06:26:33
82720240,-25.3649974,-49.2309055,1,06:26:33,36,82720410,-25.3531644,-49.2322632,NAO,06:28:49
82720410,-25.3531644,-49.2322632,1,06:28:49,36,82710330,-25.3530999,-49.2583429,NAO,06:31:50
82710330,-25.3530999,-49.2583429,1,06:31:50,36,82710320,-25.3550855,-49.2588718,NAO,06:32:07
82710320,-25.3550855,-49.2588718,1,06:32:07,36,82710082,-25.3647667,-49.2518749,NAO,06:34:12
82710082,-25.3647667,-49.2518749,1,06:34:12,36,82700540,-25.3703488,-49.2570180,NAO,06:35:09
82700540,-25.3703488,-49.2570180,1,06:35:09,36,82700410,-25.3740192,-49.2513783,NAO,06:36:30
82700410,-25.3740192,-49.2513783,1,06:36:30,36,82650210,-25.3791995,-49.2479747,NAO,06:37:35
82650210,-25.3791995,-49.2479747,1,06:37:35,36,82650230,-25.3772499,-49.2469518,NAO,06:38:08
82650230,-25.3772499,-49.2469518,1,06:38:08,36,82650320,-25.3737566,-49.2469140,NAO,06:38:50
82650320,-25.3737566,-49.2469140,1,06:38:50,36,82650470,-25.3694403,-49.2428589,NAO,06:40:32
82650470,-25.3694403,-49.2428589,1,06:40:32,36,82640640,-25.3715919,-49.2403618,NAO,06:41:09
82640640,-25.3715919,-49.2403618,1,06:41:09,36,82640710,-25.3761139,-49.2360148,NAO,06:42:19
82640710,-25.3761139,-49.2360148,1,06:42:19,36,82640400,-25.3780721,-49.2387994,NAO,06:42:43
82640400,-25.3780721,-49.2387994,1,06:42:43,36,82650060,-25.3808623,-49.2427622,NAO,06:43:18
82650060,-25.3808623,-49.2427622,1,06:43:18,36,82560040,-25.3850699,-49.2480647,NAO,06:44:06
82560040,-25.3850699,-49.2480647,1,06:44:06,36,82210230,-25.3823373,-49.2634891,SIM,06:45:58
82210230,-25.3823373,-49.2634891,1,06:45:58,36,82220133,-25.3760098,-49.2639595,NAO,06:47:11
